"features","ABCA1","ABO","ADAMTS6","AFAP1","ALDH9A1","ANAPC1","ANGPT1","ANGPT2","ANGPTL2","ANKH","ANTXR1","ARHGEF12","ATXN2","BCAS3","CAPZA1","CAV1","CAV2","CDH11","COL24A1","CTTNBP2","CYP1B1","DGKG","EFEMP1","EMCN","EMID1","ETS1","FBXO32","FER","FERMT2","FMNL2","FNDC3B","FOXC1","GAS7","GMDS","GNB1L","KALRN","KREMEN1","LMO7","LMX1B","LTBP2","ME3","MECOM","MYOC","MYOF","PARD3B","PDE7B","PKHD1","PLEKHA7","PRSS23","PTPRJ","RALGPS1","RUNX2","SPTBN1","TEK","TES","TEX41","TIMP3","TMCO1","TNS1","TRIOBP","TXNRD2","ZNF280D","NonTargeting"
"TAC1",4.74441228925533,4.545475357575,0,0,0,0,0,0,3.46813400471681,0,1.94618252272085,0,2.07926791750913,4.83461009822691,0,3.29500813090563,0,0,4.55071708749545,0,2.53032812835153,0,0,1.67030651513326,0,0,0,2.85356931611272,1.52051784275365,0,4.45106288507588,0,0,0,0,0,4.91062084446697,0,0,0,1.79021597886846,0,4.04310242932617,0,1.64819697399603,2.03730884083323,0,0,0,0,0,0,4.84781228020789,3.27149983348794,2.92658842059974,0,2.93940953872668,2.50164648092752,1.60757535288541,0,0,2.8000637648248,0
"IL1RN",3.78960865617336,0,3.25670418401531,2.06949973634733,0,0,3.1772697165209,0,2.17506077250164,1.24635719893948,1.76038344193013,2.05264306200716,1.9986102541639,0,0,1.63460307456679,0,1.48278745367621,0,0,0.826598666462021,0,0,0.0998435841072184,0,0,2.67159046532421,2.88401042967686,3.6504946298687,3.33017703753607,2.13166171821756,0.824654395616902,2.62861677950106,0,1.72772580953537,0,0.886439945998025,0,2.13969979627638,1.14044944297596,1.24528813994955,2.06994305597128,1.97013915777094,1.99644492032423,2.16226755318166,2.55430875105753,1.86884588598329,1.7046867302323,2.62891886186982,0,0,0,0,0,0,0,2.33047245988601,2.08383055991196,1.07187784002004,0,0,2.1305908279676,0
"MMP10",3.67508026814698,0,3.6130423096885,0,0,3.76288664911578,3.29656864489325,0,2.35919963316365,0,1.50500260863977,2.97464055000588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64887038882413,2.59053491027893,5.58758546325292,0,0,0,0,0,0,0,0,0,2.34809894553333,0,0,0,1.14006415921325,0,0,3.33721062939059,1.76313644481217,0,1.90807293306689,0,0,0,0,0,0,0,0,2.12664364345093,1.4788420387632,1.44466728388238,0,1.69170658673438,0
"OASL",3.58303480776818,0,1.78015229552376,0,0,0,0,3.1861446551996,2.59871811452696,0,1.78885755805817,0,1.21338949139048,0,0,0.505070261925435,1.83176993782738,1.67157148236984,0,0,0,0,2.05048955584203,0,0.638656859897102,0,2.02387322630072,0,3.03192373650473,0,0.606200229245064,0,0,2.53311787953329,0,-0.0120002198901752,0.122818719830766,0,0,0.825554939943128,1.70071782802935,0.732553915151359,0,0,1.56465627845333,1.29893642545278,1.98974744239609,3.19303104078484,0,0,0,0,0.831426625194564,0,0,0.245087456439885,1.78043294819285,0.62627313544127,1.71634135248986,1.79687025198583,2.58162935705704,2.94585502933659,0
"RSAD2",3.5774104009611,0.293177253938888,2.28823170626802,0,0.00972589167178268,1.44629655250027,3.63103023945666,1.30190664316509,3.0072618517203,0.75504393237883,0.524695899888692,1.33987449336411,1.67154367680305,0,0,0,0,0,0,-0.598557683283993,0,0.0605877184870074,0,-0.452870227117574,-0.401700354054682,0,2.49013246135035,3.12701803602685,3.12249739237939,0,1.13812638194369,-0.412294059869019,1.89936008806945,0,1.2003432882672,0,0.308970035687662,0,0,0,-0.212666529664665,1.90258556564498,1.13862362485404,1.64506191490806,1.05036787616913,2.20435133374242,1.62068360092588,0,1.3761176820089,0,-0.176140653639551,0,1.91002479989666,0.464088446975981,0,0,1.34012963441012,1.32367726583631,0.867727250186079,1.29555652777278,1.09139514442918,2.59525293751495,0
"PRG4",3.50700369109703,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92749756660674,2.16803527464786,-0.251690972865467,0,0,0,0,0,0.0662077895889598,0,0,0,0,2.06830816490574,2.81547889004074,0,-0.145872257311351,0,0,0,1.41777035631408,0,0,0,2.92573094952494,0,0,0,0,0,0,2.64874355291558,0,0,0,0,0,0,0,0,0,-0.261872532279998,0,0,0,0,0,0,0
"IFI44L",3.49622864470575,0.891245593993454,2.81673488014505,0,1.52111982024746,2.30893196085179,2.89000367356437,0,2.34639253678447,0.807943361571264,0.721940599884114,1.29999236614759,1.94840944124171,0.571850622368391,0.763579994129051,0.219724751659364,0.35648399938529,0,0,0,0,0,0.34093691343971,0,0,0,2.22837845945318,2.57940216794431,2.8464730024774,1.20607811094534,1.41263670179143,0,2.04883836913414,0,0.755286436671222,0,0,0,0,0,0,1.62179478369746,0,0,0.821628931499918,2.32247838571047,1.20607811094534,0,1.47341123055979,0,0,0,2.08424763497069,1.17163371257658,0,0,1.83409754023417,2.17839455225962,1.36235629628235,0.838526000776099,1.35148683278062,2.37430815032754,0
"PRSS35",3.17867782501152,0,0,0,0,2.31725040775138,3.52078380183651,0,1.59281348810917,0,0,0,0,0,0,0,0,0,1.38833350581286,0,0,0.84407873248778,0,0,0,0,2.91372753026474,1.64482506577988,2.73651249289195,0,0,0,0,0,0,0,0,0,0,0,1.50697800231148,1.2477653074301,0,0,0,1.11732582145255,0,0,3.26614383674495,0,0,0,0,0,0,0.344706573412604,1.97459087127993,0,0,0.609010984848247,0,2.63838776814874,0
"CMPK2",3.17216884482804,0,2.21363546212342,0.963889548386726,0,1.54162530979798,2.84910966792202,0.61725691733651,2.14620590982945,0,0,1.06420959669212,1.47796256692446,0,0,0.231132109972906,0,0.0719869472838358,0,0,0,0,0.807161485924054,0,0,0,1.82386934175454,2.26388440514917,2.49794743117832,1.43149822497935,1.18170240071715,0,1.47512406791552,0.629452214306816,0,0,0,0.013410120170459,0,0,0,1.44555961037338,0.535879678554581,0.853840524881432,0.98661319167196,1.82976954759114,1.38116654942921,-0.231466787743075,1.56297567372535,0,0,0,1.67306911336827,0,0,0,1.31826470169888,1.18299809988273,0.85952803325127,0.869606074807605,1.15713152852913,1.94338113040363,0
"MX1",3.09370440436412,0.86793121283095,2.57540907506349,0,1.51508343051679,1.8148622481364,2.71009941292194,0.669254360644553,2.16267691950835,0.601512394293265,0.619519673729103,0.950852371379723,1.66979487300638,0.578949634826856,0,0,0.275704837484938,0,0,0,0,-0.444814482094722,0.196072819011724,-0.192828988259612,-0.623219591752295,0,2.02787839196677,2.30381438765205,2.4068487170961,0.895187139686249,1.29176472019771,0,1.85435688999036,0.256730267995997,0.71289154663822,0,0,-0.748364668263171,0,0,0,1.47463065683192,0,0.739841602664924,0.991669770193157,2.03571835613375,1.17404651268173,0,1.74129756280565,0,0,0,2.09680027173429,1.23991564353574,0,0,1.57186012649613,1.91707385963513,1.17114994917143,0.800011987528256,1.07649120325905,2.11391711045549,0
