gene_id	test_mean	control_mean	pval	padj	foldChange	log2FoldChange
IL24	0.06111111111111111	3.8550501156515033e-4	0.008642130468553295	0.03973072883930008	158.5222222222222	7.308541286559322
LCE3E	0.05555555555555555	3.8550501156515033e-4	0.010501863370902937	0.04677176865510974	144.11111111111111	7.171037762809387
CXCL10	0.12777777777777777	0.0026985350809560524	0.03733271290444862	0.13433621709782195	47.35079365079365	5.565316701921433
CRB2	0.011111111111111112	3.8550501156515033e-4	0.06363343013340188	0.2019945981116359	28.822222222222223	4.849109667922025
CD300C	0.011111111111111112	3.8550501156515033e-4	0.06363343013340188	0.2019945981116359	28.822222222222223	4.849109667922025
NEURL3	0.011111111111111112	3.8550501156515033e-4	0.06363343013340188	0.2045651149764898	28.822222222222223	4.849109667922025
TEX11	0.011111111111111112	3.8550501156515033e-4	0.06363343013340188	0.2045651149764898	28.822222222222223	4.849109667922025
CFAP61	0.011111111111111112	3.8550501156515033e-4	0.48439830673644035	0.8790062708291272	28.822222222222223	4.849109667922025
TUBB4A	0.011111111111111112	3.8550501156515033e-4	0.06363343013340188	0.2045651149764898	28.822222222222223	4.849109667922025
DKK4	0.011111111111111112	3.8550501156515033e-4	0.48439830673644035	0.8825237081654101	28.822222222222223	4.849109667922025
TAC1	0.5166666666666667	0.01927525057825752	1.2011542494478792e-38	2.158421962160037e-36	26.804666666666666	4.744412289255331
CBLN2	0.027777777777777776	0.001156515034695451	0.2010232726778447	0.48603169263010787	24.018518518518515	4.58607526208823
GABRB2	0.044444444444444446	0.0019275250578257518	4.247052656898464e-5	4.1204386457655755e-4	23.057777777777776	4.527181573034662
GPRIN3	0.016666666666666666	7.710100231303007e-4	0.588475098607998	0.967397505498125	21.616666666666667	4.434072168643181
S100B	0.005555555555555556	0.08673862760215882	0.021280376650853555	0.08539009388153179	0.06404938271604939	-3.9646715232950123
CHRM2	0.005555555555555556	0.08288357748650732	0.0046178538842060746	0.02338920355811729	0.06702842377260983	-3.8990831816674354
NOTCH2NLB	0.005555555555555556	3.8550501156515033e-4	0.41756294418537193	0.8084251995811044	14.411111111111111	3.8491096679220247
LCE1A	0.07222222222222222	0.0050115651503469544	0.029820577944286764	0.11286487971038205	14.41111111111111	3.8491096679220247
MAP3K19	0.005555555555555556	3.8550501156515033e-4	0.41756294418537193	0.8084251995811044	14.411111111111111	3.8491096679220247
EFCC1	0.005555555555555556	3.8550501156515033e-4	0.41756294418537193	0.8084251995811044	14.411111111111111	3.8491096679220247
CCNI2	0.005555555555555556	3.8550501156515033e-4	0.41756294418537193	0.8084251995811044	14.411111111111111	3.8491096679220247
